"prompt","task_type","answer"
"What is the minimum temperature in Fahrenheit that leftovers, including pasta dishes, should be reheated to?","temperature","165"
"I am making a simple sauce with cherry tomatoes. The recipe says to sauté them until they 'burst'. Can I use diced canned tomatoes and achieve the same effect?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, you cannot achieve the same effect. The 'bursting' of cherry tomatoes releases their sweet juice, which then caramelizes and forms a sauce with the skins providing texture. Canned tomatoes are already processed and will simply break down into a standard sauce."" }"
"I'm making a pasta dish with pancetta and peas ('piselli'). I have the pasta, pancetta, and peas. What aromatic is commonly sautéed with the pancetta at the beginning?","missing_ingredient_identification","You are missing **onion** or **shallots**. A finely chopped onion or shallot is typically sautéed with the pancetta to build the aromatic base of the sauce."
"Please scale this spinach and ricotta filling for a lasagna up for a much larger dish.\n\nIngredients for a 9x13 inch lasagna:\n- 32 oz ricotta cheese\n- 1 lb frozen spinach, thawed and squeezed\n- 2 eggs","recipe_scaling","Ingredients for a large hotel pan (double the size):\n- 64 oz ricotta cheese\n- 2 lbs frozen spinach, thawed and squeezed\n- 4 eggs"
"How many milliliters of heavy cream are needed to make a light, creamy sauce for 200g of pasta?","quantity_ingredient","150"
"How long in hours should a meat ragu be left to cool completely before being stored in the refrigerator?","time","2"
"What is the ideal temperature in Celsius for serving a chilled noodle dish like Japanese soba?","temperature","5"
"My recipe for fresh pasta calls for resting the dough for 30 minutes. Can I skip this step if I'm in a hurry?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, you should not skip the resting step. Resting allows the gluten network developed during kneading to relax. Skipping it will result in a tough, rubbery dough that is very difficult to roll out and will not have a tender bite."" }"
"I am making a pasta dish with a vibrant green sauce made from peas and mint. I have the pasta, peas, and mint. What cheese is typically blended in to add creaminess and savory flavor?","missing_ingredient_identification","You are likely missing **ricotta** or **Pecorino** cheese. Ricotta adds a light creaminess, while Pecorino adds a sharp, salty counterpoint to the sweet peas and mint."
"Please scale this recipe for a clam sauce for one pound of linguine down to a single serving (1/4 pound).\n\nIngredients for 1 lb linguine:\n- 2 lbs fresh clams\n- 1 cup white wine\n- 6 cloves garlic","recipe_scaling","Ingredients for 1/4 lb linguine:\n- 1/2 lb fresh clams\n- 1/4 cup white wine\n- 2 cloves garlic"
"How many grams of fresh yeast are equivalent to a 7g packet of active dry yeast for a pizza dough to be served with pasta?","quantity_ingredient","21"
"How many minutes should you let wine reduce in a pan for a sauce before adding other liquids like tomatoes or broth?","time","3"
"What is the temperature in Fahrenheit of the 'smoke point' for extra virgin olive oil, which should not be exceeded when making a sauce?","temperature","375"
"I'm making a pasta topping that calls for toasted walnuts. Can I use raw, untoasted walnuts instead?","substitution_validation","{ ""valid"": true, ""explanation"": ""You can use raw walnuts, but the flavor will be significantly different. Toasting nuts releases their natural oils and deepens their flavor, making them crunchier and less bitter. The raw walnuts will have a softer, more waxy texture."" }"
"I'm making a baked pasta dish that turned out dry. I included pasta, sauce, and cheese. What creamy layer, common in baked ziti, did I likely forget?","missing_ingredient_identification","You likely forgot the **ricotta cheese mixture**. A layer of ricotta, often mixed with an egg and parsley, is a key component in many baked pasta dishes that adds moisture and a rich, creamy texture."
